s,en,vi,Cn,kor,es,ja
cancel_battle_title,Cancel battle?,,取消战斗？,전투를 취소하시겠습니까?,¿Cancelar batalla?,戦闘をキャンセルしますか？
cancel_battle_desc,Are you sure you want to cancel this battle? There will be no refund for your battle fee,,您确定要取消这场战斗吗，您的战斗费将不予退还,이 전투를 취소하시겠습니까? 전투 비용은 환불되지 않습니다.,¿Estás seguro de que deseas cancelar esta batalla? No habrá reembolso por tu tarifa de batalla.,この戦闘をキャンセルしてもよろしいですか。戦闘料金の払い戻しはありません。
no_i_not,"No, I'm not",,不，我不是,아니요,"No, no lo estoy",いいえ、私は違います
yes_i_sure,"Yes, I'm sure",,是的。我确定,예.,"Si, estoy seguro.",はい。 私は確信しています
opponent_flow_desc,You got 1 new challenge request,,您收到了 1 个新的挑战请求,1개의 새로운 도전 요청을 받았습니다.,Tenes una solicitud de desafio pendiente,新しいチャレンジリクエストが1つあります
effects_applied_title,Effect applied,,应用效果,효과 적용,Efecto aplicado,適用された効果
required_tier,Required tier,,所需等级,필수 티어,Rango requerido,必要な階層
monster_preview,Monster Preview,,怪物预览,몬스터 미리보기,Vista previa del monstruo,モンスタープレビュー
skip_cooldown,Skip cooldown,,跳过冷却时间,재사용 대기시간 건너뛰기,Saltear tiempo de enfriamiento,クールダウンをスキップ
skip_cooldown_lead,"To skip the cooldown, you will have to pay {{fees}} BCMC, do you want to proceed?","To skip the cooldown, you will have to pay {{fees}} BCMC, do you want to process further?",要跳过冷却时间，您需要支付 {{fees}} BCMC，您要进一步处理吗？,쿨다운을 건너뛰려면 BCMC {{fees}}를 지불해야 합니다. 진행하시겠습니까?,"Para omitir el tiempo de reenfriamiento, deberá pagar {{fees}} BCMC, ¿quiere continuar con el proceso?",クールダウンをスキップするには、{{料金}} BCMCを支払う必要があります。さらに処理しますか？
i_good,I'm good,,我很好,난 괜찮아,Estoy bien,私は大丈夫です
skip_cooldown_pay,Pay {{fees}} BCMC,Pay {{fees}} BCMC,支付 {{fees}} BCMC,BCMC {{fees}} 지불,Pagar {{fees}} BCMC,{{料金}} BCMCを支払う
reward_factor,Reward factor,,奖励因素,보상 요소,Factor de recompensa,報酬係数
chance_killed_when_lost,Death chance after losing,,失败后的死亡机会,패배 후 사망 확률,Posibilidad de muerte despues de perder,負けた後の死のチャンス
improve_success_rate_title,GS1 & GS2 Genesis monsters give 10% & 20% success rate boost when they are support monsters. You get another 5% boost if the monster is from the same chain as you.,,GS1 和 GS2 创世纪怪物在作为辅助怪物时提供 10% 和 20% 的成功率提升。如果怪物与您来自同一链，您将获得另外 5% 的提升。,GS1 & GS2 제네시스 몬스터는 서포터 몬스터일 때 10% & 20%의 성공률 증가를 제공합니다. 몬스터가 당신과 같은 체인에 있으면 추가로 5% 부스트를 얻습니다.,Los monstruos GS1 y GS2 Genesis dan un aumento de la tasa de éxito del 10% y 20% cuando son monstruos de apoyo. Obtienes otro 5% de impulso si el monstruo es de la misma red que tú.,GS1とGS2のジェネシスモンスターは、サポートモンスターの場合、成功率が10％と20％向上します。 モンスターがあなたと同じチェーンから来ている場合、あなたはさらに5％のブーストを得る。
got_it,Got it!,,知道了！,알았어요!,Entendido!,手に入れました！
chat_room,Chatroom,,聊天室,대화방,Sala de chat,チャットルーム
online,Online,,在线的,온라인,En línea,オンライン
send,Send,,发送,보내기,Enviado,送信
loots,Loot,,战利品,전리품,botines,戦利品
empty,Empty,,空的,비움,Vacío,空の
upgrade,Upgrade,,升级,업그레이드,Actualizar,アップグレード
upgrade_lead,Upgrade your tier to increase your loot size. You will have to start a new game to see the change reflected in the UI.,,升级您的等级以增加您的战利品大小。您必须开始新游戏才能看到更改反映在 UI 中。,전리품 크기를 늘리려면 등급을 업그레이드하세요. 변경 사항이 UI에 반영되는지 보려면 새 게임을 시작해야 합니다.,Actualiza tu rango para aumentar el tamaño del botin. Tendrás que empezar una nueva partida para ver el cambio reflectado en la interface,ティアをアップグレードして、戦利品のサイズを増やします。 変更がUIに反映されるようにするには、新しいゲームを開始する必要があります。
select_a_boost,Select a boost,,选择提升,부스트 선택,Selecciona un impulso,ブーストを選択
legend_sword,Legend Sword,,传奇之剑,레전드 소드,Espada Legendaria,レジェンドソード
winged_shoes,Winged Shoes,,带翅膀的鞋子,날개 달린 신발,Zapatos alados,翼のある靴
captian_shield,Captain's Shield,,船长之盾,선장의 방패,Escudo del capitán,キャプテンの盾
details,Details,,细节,세부,Detalles,詳細
my_inventory,My inventory,,我的库存,내 인벤토리,Mi inventario,私の在庫
token_expired,Token invalid or expired,,令牌无效或过期,토큰이 유효하지 않거나 만료되었습니다.,Token invalido o expirado,トークンが無効または期限切れ
token_expired_lead,"You have stayed in Multiverse for more than 24 hours,\nif you wish to continue please create a new session.",,您已在 Multiverse 中停留超过 24 小时\n如果您想继续，请创建一个新会话。,Multiverse에 24시간 이상 머물렀습니다.\n계속하려면 새 세션을 만드십시오.,"Ha permanecido en Multiverse ourante más de 24 horas,\nsi desea continuar, cree una nueva sesión.",マルチバースに24時間以上滞在しました\n続行する場合は、新しいセッションを作成してください。
hide_all_notifcation,Hide all notifications,,隐藏所有通知,모든 알림 숨기기,Oculta todas las notificaciones,すべての通知を非表示にする
notification_setting_notshow,Do not show the monsters that don't meet requirements,,不显示不符合要求的怪物,요구 사항을 충족하지 않는 몬스터를 표시하지 마십시오,No mostrar los monstruos que no cumplen los requisitos.,要件を満たしていないモンスターを見せないでください
account_power,Account power,,帐号权限,계정 권한,Poder de la cuenta,アカウントの権限
rank,Rank,,秩,랭크,Rank,ランク
friendly_accept_title,Wants to challenge you to a friendly battle!,,想以友好的方式挑战你！,우호적인 전투에 도전하고 싶습니다!,Quiero desafiarte en una batalla amistosa!,フレンドリーなバットであなたに挑戦したい！
friendly_not,"We couldn't find any username that matches your search, please double check for typos & try again",,我们找不到任何与您的搜索匹配的用户名，请仔细检查错字并重试,검색어와 일치하는 사용자 이름을 찾을 수 없습니다. 오타를 다시 확인하고 다시 시도하세요.,"No pudimos encontrar ningún nombre de usuario que coincida con su búsqueda, vuelva a verificar el error tipográfico e intente nuevamente",検索に一致するユーザー名が見つかりませんでした。タイプミスを再確認して、もう一度お試しください
reject,Reject,,拒绝,거절하기,Rechazar,拒絶
result,Result,,结果,결과,Resultado,結果
challenge,Challenge,,挑战,도전,Desafio,チャレンジ
friendy_battle,Friendly battle,,友谊战,친선전,Batalla amistosa,友好的な戦い
skip,Skip,,跳过,건너 뛰다,Saltear tiempo de enfriamiento,スキップ
friendly_title,Friendly battle request,,友好战斗请求,친선전 요청,Solicitud de batalla amistosa,友好的なバトルリクエスト
pvp_challenge,Challenge random opponents to earn experience & exciting rewards,,挑战随机对手以获得经验和令人兴奋的奖励,무작위 상대에게 도전하여 경험과 흥미진진한 보상을 받으세요,Desafía a oponentes aleatorios para ganar experiencia y recompensas emocionantes,ランダムな対戦相手に挑戦して、経験とエキサイティングな報酬を獲得しましょう
challenge_request,Challenge request,,挑战请求,도전 요청,Solicitud de desafio,チャレンジリクエスト
challenge_request_lead,Do you want to challenge,,你想挑战吗,도전하시겠습니까?,¿Querés desafiarme?,挑戦しますか
challenge_request_desc,Wants to challenge you to a batte!,,想挑战你！,타자에 도전하고 싶다!,Quiero desafiarte en una batalla,バットで挑戦したい！
please_switch_on_mobile,"For WalletConnect, please switch networks on your mobile wallet.",,对于 WalletConnect，请在您的移动钱包上切换网络。,월렛연결의 경우 모바일 지갑에서 네트워크를 전환하십시오.,"Para WalletConnect,cambie la cadena en su billetera móvil",ウォレットコネクトの場合は、モバイルウォレットのネットワークを切り替えてください。
no_ethereum_browser,"No Ethereum browser extension detected, install MetaMask on desktop or visit from an App browser on mobile.",,未检测到以太坊浏览器扩展，在桌面安装 MetaMask 或从移动设备上的 dApp 浏览器访问。,이더리움 브라우저 확장이 감지되지 않았습니다. 데스크톱에 메타마스크를 설치하거나 모바일의 dApp 브라우저에서 방문하세요.,"No se detectó ninguna extensión de navegador Ethereum, instale MetaMask en el escritorio o visite desde un navegador dApp en un dispositivo móvil.",イーサリアムブラウザ拡張機能が検出されませんでした。デスクトップにメタマスクをインストールするか、モバイルのdAppブラウザからアクセスしてください。
please_authorize_website,Please authorize this website to access your Ethereum account.,,请授权本网站访问您的以太坊账户。,이 웹사이트가 귀하의 이더리움 계정에 액세스할 수 있도록 승인하십시오.,Autorice a este sitio web para acceder a su cuenta de Ethereum.,このウェブサイトにイーサリアムアカウントへのアクセスを許可してください。
unexpected_error_occurred,An unexpected error has occurred,,发生了意外错误,예상치 못한 오류가 발생했습니다,Ha ocurrido un error inesperado,予期しないエラーが発生しました
close_try_again,Please close this modal and try again,,请关闭此模式并重试,이 모달을 닫고 다시 시도하십시오,"Cierra esta modalidad e inténtalo de nuevo.
",このモーダルを閉じて、再試行してください
exit_lead,You are about to claim back your NFTs and exit the current session of the game. Are you sure you want to do that?,,您即将收回您的 NFT 并退出当前的游戏会话。你确定要这样做吗？,NFT를 회수하고 게임의 현재 세션을 종료하려고 합니다. 진행하시겠습니까?,Está a punto de reclamar sus NFT y salir de la sesión actual del juego. ¿Estás seguro de que quieres hacer eso?,NFTを取り戻し、ゲームの現在のセッションを終了しようとしています。 本当にやりたいですか？
claim_history,Claim history,,索赔历史,청구 내역,Historial de reclamo,クレーム履歴
topup_energy,Top up Energy,,充值能量,에너지 충전,Recarga energia,トップアップエネルギー
metaverse_heading,Multiverse,,多元宇宙,메타버스,Multiverso,多元宇宙
staking_heading,STAKING,,质押,스테이킹,Staking,ステーキング
transfer_bcmc,Transfer BCMC,,转移BCMC,BCMC 이전,Transferir BCMC,BCMCを転送する
claimable_at,Claimable at,,可索赔,청구 가능 시간,Reclamable a las,で請求可能
new_member,New member,,新成员,새로운 회원,Nuevo miembro,新会員
new_session,New session,,新会话,새 세션,Nueva sesión,新しいセッション
create_session,Create session,,创建会话,세션 생성,Crear sesión,セッションを作成する
session_overview,Session overview,,会议概述,세션 개요,Informacion general de la sesion,セッションの概要
view_more,View more,,查看更多,더보기,ver mas,もっと見る
filter_by,Filter by,,过滤,필터링 기준,Filtrado por,フィルタリング
claim_bcmc_only,Claim BCMC only,,只申请 BCMC,BCMC만 청구,Reclamar BCMC solamente,BCMCのみを請求する
required_stamina,Required stamina,,所需的耐力,필요 스타미나,Requiere de stamina,必要なスタミナ
view_guide,View Guide,,查看指南,가이드 보기,Ver guia,ガイドを見る
faucet_bcmc,You can claim a maximum of 100 BCMC per account.,Bạn chỉ có thể nhận tối đa 100 BCMC mỗi tài khoản,每个账户最多可以申领 100 BCMC。,계정당 최대 100 BCMC를 청구할 수 있습니다.,Solo podes reclamar un maximo de 100 BCMC por cuenta,アカウントごとに最大100のBCMCを請求できます。
coming_soon_portal,Coming Soon,Sắp ra mắt,即将推出,Coming Soon,Proximamente,近日公開
edit_profile,Edit Profile,Thay đổi thông tin,编辑个人资料,프로필 수정,Editar perfil,プロファイル編集
current_tier_info,"You are 29,500 BCMC away from reaching the next VIP Tier.","Bạn đang thiếu 29,500 BCMC để đạt VIP tiếp theo","您距离下一个 VIP 等级还有 29,500 BCMC。","다음 VIP 티어에 도달하려면 BCMC가 29,500입니다.",Estás a 29 500 BCMC de alcanzar el siguiente nivel VIP.,"次のVIPティアに到達するまでに29,500BCMC離れています。"
customize_avatar,Customize Avatar,Thay đổi ảnh đại diện,自定义头像,아바타 수정,Personaliza tu avatar,アバターをカスタマイズする
filter_monsters,Filter Monsters,Lọc quái thú,过滤怪物,필터 몬스터,Filtrá los monstruos,フィルターモンスター
battle_starts,BATTLE STARTS,TRẬN CHIẾN BẮT ĐẦU,战斗开始,전투 시작,LA BATALLA COMIENZA,バトルスタート
sort_by,Sort By,,排序方式,정렬 기준,Ordenar por,並び替え
portal_title,Send BCMC and Monsters across chains.,Chuyển BCMC và Quái thú qua các chuỗi,跨链发送 BCMC 和怪物。,BCMC와 몬스터를 체인으로 보냅니다.,Enviar BCMC y monstruos a traves de las redes,チェーンを越えてBCMCとモンスターを送ってください。
portal_heading,BRIDGE,,桥,브리지,PUENTE,橋
portfolio_title,PORTFOLIO,,文件夹,포트폴리오,Envía BCMC y monstruos a través de cadenas,ポートフォリオ
view_monster,VIEW MONSTER,Xem quái thú,查看怪物,몬스터 보기,Ver monstruo,モンスターを見る
view_transaction,View Transaction,Xem giao dịch,查看交易,거래 보기,Ver transacción,トランザクションを表示
share_portfolio,Share Portfolio,Chia sẻ,分享投资组合,포트폴리오 공유,Compartir portafolio,ポートフォリオを共有する
view_monster_capitalize,View Monster,Xem quái thú,查看怪物,몬스터 보기,Ver monstruo,モンスターを見る
send_nfts,SEND NFT,Gửi NFT,发送 NFT,NFT 보내기,Enviar NFT,NFTを送信
send_bcmc,Transfer BCMC,Chuyển BCMC,转移BCMC,BCMC 이전,Transferir BCMC,BCMCを転送する
create_session_success,Please head to <memberRef> this member's profile </memberRef> to view this session in detail.,Please head to <memberRef> this member profile </memberRef> to view this session in details.,请前往 <memberRef> 此会员资料 </memberRef> 以查看此会话的详细信息。,이 세션을 자세히 보려면 <memberRef> 이 회원 프로필 </memberRef> 로 이동해 주십시오.,Diríjase a <memberRef> este perfil de miembro </memberRef> para ver los detalles de esta sesión.,このセッションの詳細を表示するには、<メンバー参照>このメンバープロファイル</ メンバー参照>にアクセスしてください。
current_multiverse,Current energy (Multiverse),,当前能量（多元宇宙）,전류 에너지(메타버스),Energia actual (multiverso),現在のエネルギー（多元宇宙）
minded_rewards,Minded Rewards,Minded Rewards,Minded Rewards,Minded Rewards,Minded Rewards,Minded Rewards
select_monster_to_equip_desc,Select your monster you want to equip,,,,,
already_equipped,Already equipped,,,,,
lock_monster_notice,Monster after catching. You will need to claim to your portfolio before you can use it,,,,,
lock_reward_notice,Reward after earning. You will need to claim to your portfolio before you can use it,,,,,
change_view,Change view,,,,,
item_owned_you,You own this item,Bạn đang sở hữu vật phẩm này,,,,
your_filter_no_results,You filter has no results,Bộ lọc không có kết quả,,,,
